Ticker,Nome,Razão Social,Setor de Atuação,Segmento
CTKA3,Karsten,KARSTEN S.A.,Consumo Cíclico,Fios e Tecidos
CTKA4,Karsten,KARSTEN S.A.,Consumo Cíclico,Fios e Tecidos
CTSA3,Santanense,CIA TECIDOS SANTANENSE,Consumo Cíclico,Fios e Tecidos
CTSA4,Santanense,CIA TECIDOS SANTANENSE,Consumo Cíclico,Fios e Tecidos
CURY3,Cury,CURY CONSTRUTORA E INCORPORADORA S.A.,Consumo Cíclico,Incorporações
CVCB3,CVC,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,Consumo Cíclico,Viagens e Turismo
CXSE3,Caixa Seguridade,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,Financeiro,Seguradoras
CYRE3,Cyrela,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,Consumo Cíclico,Incorporações
DASA11,DASA11,DIAGNOSTICOS DA AMERICA S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
DASA3,Dasa,DIAGNOSTICOS DA AMERICA S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
DESK3,Desktop,DESKTOP S.A.,Comunicações,Telecomunicações
DEXP3,Dexxos,DEXXOS PARTICIPACOES S.A.,Materiais Básicos,Petroquímicos
DEXP4,Dexxos,DEXXOS PARTICIPACOES S.A.,Materiais Básicos,Petroquímicos
DIRR3,Direcional,DIRECIONAL ENGENHARIA S.A.,Consumo Cíclico,Incorporações
DMVF3,D1000 Varejo Farma,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,Saúde,Medicamentos e Outros Produtos
DOHL4,Döhler,DOHLER S.A.,Consumo Cíclico,Fios e Tecidos
DOTZ3,Dotz,DOTZ S.A.,Consumo Cíclico,Programas de Fidelização
DTCY3,Dtcom,DTCOM - DIRECT TO COMPANY S.A.,Bens Industriais,Serviços Diversos
DXCO3,Dexco,DEXCO S.A.,Materiais Básicos,Madeira
EALT3,Electro Aço Altona,ELECTRO ACO ALTONA S.A.,Bens Industriais,Máq. e Equip. Industriais
EALT4,Electro Aço Altona,ELECTRO ACO ALTONA S.A.,Bens Industriais,Máq. e Equip. Industriais
ECOR3,EcoRodovias,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,Bens Industriais,Exploração de Rodovias
EGIE3,Engie,ENGIE BRASIL ENERGIA S.A.,Utilidade Pública,Energia Elétrica
EKTR4,Elektro,ELEKTRO REDES S.A.,Utilidade Pública,Energia Elétrica
ELET3,Eletrobras,CENTRAIS ELET BRAS S.A. - ELETROBRAS,Utilidade Pública,Energia Elétrica
ELET5,Eletrobras,CENTRAIS ELET BRAS S.A. - ELETROBRAS,Utilidade Pública,Energia Elétrica
ELET6,Eletrobras,CENTRAIS ELET BRAS S.A. - ELETROBRAS,Utilidade Pública,Energia Elétrica
ELMD3,Eletromidia,ELETROMIDIA S.A.,Comunicações,Publicidade e Propaganda
EMAE4,EMAE,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Utilidade Pública,Energia Elétrica
EMBR3,Embraer,EMBRAER S.A.,Bens Industriais,Material Aeronáutico e de Defesa
ENEV3,Eneva,ENEVA S.A,Utilidade Pública,Energia Elétrica
ENGI11,Energisa,ENERGISA S.A.,Utilidade Pública,Energia Elétrica
ENGI3,Energisa,ENERGISA S.A.,Utilidade Pública,Energia Elétrica
ENGI4,Energisa,ENERGISA S.A.,Utilidade Pública,Energia Elétrica
ENJU3,Enjoei,ENJOEI S.A.,Tecnologia da Informação,Programas e Serviços
ENMT3,Energisa MT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,Utilidade Pública,Energia Elétrica
EPAR3,Embpar Participações,EMBPAR PARTICIPACOES S.A.,Bens Industriais,Material de Transporte
EQMA3B,Equatorial Maranhão,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Utilidade Pública,Energia Elétrica
EQPA3,Equatorial Energia Pará,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,Utilidade Pública,Energia Elétrica
EQTL3,Equatorial Energia,EQUATORIAL S.A.,Utilidade Pública,Energia Elétrica
ESPA3,Espaçolaser,MPM CORPÓREOS S.A.,Consumo Cíclico,Produtos Diversos
ESTR4,Estrela,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,Consumo Cíclico,Brinquedos e Jogos
ETER3,Eternit,ETERNIT S.A.,Bens Industriais,Produtos para Construção
EUCA3,Eucatex,EUCATEX S.A. INDUSTRIA E COMERCIO,Materiais Básicos,Madeira
EUCA4,Eucatex,EUCATEX S.A. INDUSTRIA E COMERCIO,Materiais Básicos,Madeira
EVEN3,Even,EVEN CONSTRUTORA E INCORPORADORA S.A.,Consumo Cíclico,Incorporações
EZTC3,EZTEC,EZ TEC EMPREEND. E PARTICIPACOES S.A.,Consumo Cíclico,Incorporações
FESA3,Ferbasa,CIA FERRO LIGAS DA BAHIA - FERBASA,Materiais Básicos,Siderurgia
FESA4,Ferbasa,CIA FERRO LIGAS DA BAHIA - FERBASA,Materiais Básicos,Siderurgia
FHER3,Fertilizantes Heringer,FERTILIZANTES HERINGER S.A.,Materiais Básicos,Fertilizantes e Defensivos
FIEI3,Fica,FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A,Consumo Cíclico,Incorporações
FIQE3,Unifique,UNIFIQUE TELECOMUNICAÇÕES S.A.,Comunicações,Telecomunicações
FLRY3,Fleury,FLEURY S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
FRAS3,Fras-le,FRAS-LE S.A.,Bens Industriais,Material Rodoviário
FRIO3,Metalfrio,METALFRIO SOLUTIONS S.A.,Bens Industriais,Máq. e Equip. Industriais
GEPA3,Rio Paranapanema Energia,RIO PARANAPANEMA ENERGIA S.A.,Utilidade Pública,Energia Elétrica
GEPA4,Rio Paranapanema Energia,RIO PARANAPANEMA ENERGIA S.A.,Utilidade Pública,Energia Elétrica
GFSA3,Gafisa,GAFISA S.A.,Consumo Cíclico,Incorporações
GGBR3,Gerdau,GERDAU S.A.,Materiais Básicos,Siderurgia
GGBR4,Gerdau,GERDAU S.A.,Materiais Básicos,Siderurgia
GGPS3,GPS,GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,Bens Industriais,Serviços Diversos
GMAT3,Grupo Mateus,GRUPO MATEUS S.A.,Consumo não Cíclico,Alimentos
GOAU3,Metalúrgica Gerdau,METALURGICA GERDAU S.A.,Materiais Básicos,Siderurgia
GOAU4,Metalúrgica Gerdau,METALURGICA GERDAU S.A.,Materiais Básicos,Siderurgia
GOLL4,GOL,GOL LINHAS AEREAS INTELIGENTES S.A.,Bens Industriais,Transporte Aéreo
GPAR3,CELGPAR,CIA CELG DE PARTICIPACOES - CELGPAR,Utilidade Pública,Energia Elétrica
GRND3,Grendene,GRENDENE S.A.,Consumo Cíclico,Calçados
GSHP3,General Shopping & Outlets,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Financeiro,Exploração de Imóveis
GUAR3,Guararapes,GUARARAPES CONFECCOES S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados
HAGA3,Haga,HAGA S.A. INDUSTRIA E COMERCIO,Bens Industriais,Produtos para Construção
HAGA4,Haga,HAGA S.A. INDUSTRIA E COMERCIO,Bens Industriais,Produtos para Construção
HAPV3,Hapvida,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
HBOR3,Helbor,HELBOR EMPREENDIMENTOS S.A.,Consumo Cíclico,Incorporações
HBRE3,HBR Realty,HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A,Financeiro,Exploração de Imóveis
HBSA3,Hidrovias do Brasil,HIDROVIAS DO BRASIL S.A.,Bens Industriais,Transporte Hidroviário
HBTS5,Habitasul,CIA HABITASUL DE PARTICIPACOES,Financeiro,Exploração de Imóveis
HOOT4,Hotéis Othon,HOTEIS OTHON S.A.,Consumo Cíclico,Hotelaria
HYPE3,Hypera,HYPERA S.A.,Saúde,Medicamentos e Outros Produtos
IFCM3,Infracommerce,INFRACOMMERCE CXAAS S.A.,Tecnologia da Informação,Programas e Serviços
IGTI11,Jereissati Participações,IGUATEMI S.A.,Financeiro,Exploração de Imóveis
IGTI11,Iguatemi,IGUATEMI S.A.,Financeiro,Exploração de Imóveis
IGTI3,Iguatemi,IGUATEMI S.A.,Financeiro,Exploração de Imóveis
IGTI3,Jereissati Participações,IGUATEMI S.A.,Financeiro,Exploração de Imóveis
IGTI4,Iguatemi,IGUATEMI S.A.,Financeiro,Exploração de Imóveis
IGTI4,Jereissati Participações,IGUATEMI S.A.,Financeiro,Exploração de Imóveis
INEP3,Inepar,INEPAR S.A. INDUSTRIA E CONSTRUCOES,Bens Industriais,Máq. e Equip. Industriais
INEP4,Inepar,INEPAR S.A. INDUSTRIA E CONSTRUCOES,Bens Industriais,Máq. e Equip. Industriais
INTB3,Intelbras,Intelbras,Telecomunicações,Telecomunicações
IRBR3,IRB Brasil RE,IRB - BRASIL RESSEGUROS S.A.,Financeiro,Resseguradoras
ISAE3,ISA Energia,ISA ENERGIA BRASIL S.A,Utilidade Pública,Energia Elétrica
ISAE4,ISA Energia,ISA ENERGIA BRASIL S.A,Utilidade Pública,Energia Elétrica
ITSA3,Itaúsa,ITAUSA S.A.,Financeiro,Holdings Diversificadas
ITSA4,Itaúsa,ITAUSA S.A.,Financeiro,Holdings Diversificadas
ITUB3,Itaú Unibanco,ITAU UNIBANCO HOLDING S.A.,Financeiro,Bancos
ITUB4,Itaú Unibanco,ITAU UNIBANCO HOLDING S.A.,Financeiro,Bancos
JALL3,Jalles Machado,JALLES MACHADO S.A.,Consumo não Cíclico,Açucar e Alcool
JBSS3,JBS,JBS S.A.,Consumo não Cíclico,Carnes e Derivados
JFEN3,João Fortes,JOAO FORTES ENGENHARIA S.A.,Consumo Cíclico,Incorporações
JHSF3,JHSF,JHSF PARTICIPACOES S.A.,Consumo Cíclico,Incorporações
JOPA3,Josapar,JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,Consumo não Cíclico,Alimentos Diversos
JOPA4,Josapar,JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,Consumo não Cíclico,Alimentos Diversos
JSLG3,JSL,JSL S.A.,Bens Industriais,Transporte Rodoviário
KEPL3,Kepler Weber,KEPLER WEBER S.A.,Bens Industriais,Máq. e Equip. Industriais
KLBN11,Klabin,KLABIN S.A.,Materiais Básicos,Papel e Celulose
KLBN3,Klabin,KLABIN S.A.,Materiais Básicos,Papel e Celulose
KLBN4,Klabin,KLABIN S.A.,Materiais Básicos,Papel e Celulose
KRSA3,Kora Saúde,KORA SAÚDE PARTICIPAÇÕES S.A,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
LAND3,Terra Santa,TERRA SANTA PROPRIEDADES AGRICOLAS S.A.,Consumo não Cíclico,Agricultura
LAVV3,Lavvi Incorporadora,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,Consumo Cíclico,Incorporações
LEVE3,Mahle Metal Leve,MAHLE-METAL LEVE S.A.,Consumo Cíclico,Automóveis e Motocicletas
LIGT3,Light,LIGHT S.A.,Utilidade Pública,Energia Elétrica
LJQQ3,Lojas Quero-Quero,LOJAS QUERO-QUERO S/A,Consumo Cíclico,Produtos Diversos
LOGG3,LOG CP,LOG COMMERCIAL PROPERTIES,Financeiro,Exploração de Imóveis
LOGN3,Log-In,LOG-IN LOGISTICA INTERMODAL S.A.,Bens Industriais,Transporte Hidroviário
LPSB3,Lopes,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,Financeiro,Intermediação Imobiliária
LREN3,Lojas Renner,LOJAS RENNER S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados
LUPA3,Lupatech,LUPATECH S.A.,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços
LUXM4,Trevisa,TREVISA INVESTIMENTOS S.A.,Bens Industriais,Transporte Hidroviário
LVTC3,WDC Networks,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S/A,Tecnologia da Informação,Programas e Serviços
LWSA3,Locaweb,LWSA S.A.,Tecnologia da Informação,Programas e Serviços
MATD3,Mater Dei,HOSPITAL MATER DEI S/A,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
MBLY3,Mobly,MOBLY S.A.,Consumo Cíclico,Móveis
MDIA3,M. Dias Branco,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,Consumo não Cíclico,Alimentos Diversos
MDNE3,Moura Dubeux,MOURA DUBEUX ENGENHARIA S/A,Consumo Cíclico,Incorporações
MEAL3,IMC Alimentação,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,Consumo Cíclico,Restaurante e Similares
MELK3,Melnick,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,Consumo Cíclico,Incorporações
MERC4,Mercantil do Brasil Financeira,MERCANTIL FINANCEIRA S.A.  CRED. FINANC. E INVEST,Financeiro,Soc. Crédito e Financiamento
MGEL4,Mangels,MANGELS INDUSTRIAL S.A.,Materiais Básicos,Artefatos de Ferro e Aço
MGLU3,Magazine Luiza,MAGAZINE LUIZA S.A.,Consumo Cíclico,Eletrodomésticos
